net,length_um
_00_,54.76
net1,53.7
net3,40.32
net2,38.78
net11,38.02
_06_,36.4
net5,34.36
net6,33.63
_02_,30.78
net9,28.9
_04_,28.08
net7,24.88
net4,23.64
_08_,20.4
net13,18.6
net15,18.52
net12,17.14
net10,16.88
net16,15.84
_03_,15.72
_07_,14.96
in[7],12.79
out[0],11.89
net14,11.66
_09_,11.58
in[0],10.73
out[7],10.61
_01_,10.52
in[3],8.73
out[6],6.69
in[1],6.65
in[5],6.31
out[3],5.29
out[5],5.29
in[4],4.95
_05_,4.76
in[2],4.61
in[6],4.61
out[1],3.93
out[2],3.93
out[4],3.93
net8,2.5
